To, Location
CLOCK2_50, PIN_H13
CLOCK3_50, PIN_E10
CLOCK4_50, PIN_V15
CLOCK_50, PIN_M9
DRAM_ADDR[0], PIN_W8
DRAM_ADDR[1], PIN_T8
DRAM_ADDR[2], PIN_U11
DRAM_ADDR[3], PIN_Y10
DRAM_ADDR[4], PIN_N6
DRAM_ADDR[5], PIN_AB10
DRAM_ADDR[6], PIN_P12
DRAM_ADDR[7], PIN_P7
DRAM_ADDR[8], PIN_P8
DRAM_ADDR[9], PIN_R5
DRAM_ADDR[10], PIN_U8
DRAM_ADDR[11], PIN_P6
DRAM_ADDR[12], PIN_R7
DRAM_BA[0], PIN_T7
DRAM_BA[1], PIN_AB7
DRAM_CAS_N, PIN_V6
DRAM_CKE, PIN_R6
DRAM_CLK, PIN_AB11
DRAM_CS_N, PIN_U6
DRAM_DQ[0], PIN_Y9
DRAM_DQ[1], PIN_T10
DRAM_DQ[2], PIN_R9
DRAM_DQ[3], PIN_Y11
DRAM_DQ[4], PIN_R10
DRAM_DQ[5], PIN_R11
DRAM_DQ[6], PIN_R12
DRAM_DQ[7], PIN_AA12
DRAM_DQ[8], PIN_AA9
DRAM_DQ[9], PIN_AB8
DRAM_DQ[10], PIN_AA8
DRAM_DQ[11], PIN_AA7
DRAM_DQ[12], PIN_V10
DRAM_DQ[13], PIN_V9
DRAM_DQ[14], PIN_U10
DRAM_DQ[15], PIN_T9
DRAM_LDQM, PIN_U12
DRAM_RAS_N, PIN_AB6
DRAM_UDQM, PIN_N8
DRAM_WE_N, PIN_AB5
GPIO_0[0], PIN_N16
GPIO_0[1], PIN_B16
GPIO_0[2], PIN_M16
GPIO_0[3], PIN_C16
GPIO_0[4], PIN_D17
GPIO_0[5], PIN_K20
GPIO_0[6], PIN_K21
GPIO_0[7], PIN_K22
GPIO_0[8], PIN_M20
GPIO_0[9], PIN_M21
GPIO_0[10], PIN_N21
GPIO_0[11], PIN_R22
GPIO_0[12], PIN_R21
GPIO_0[13], PIN_T22
GPIO_0[14], PIN_N20
GPIO_0[15], PIN_N19
GPIO_0[16], PIN_M22
GPIO_0[17], PIN_P19
GPIO_0[18], PIN_L22
GPIO_0[19], PIN_P17
GPIO_0[20], PIN_P16
GPIO_0[21], PIN_M18
GPIO_0[22], PIN_L18
GPIO_0[23], PIN_L17
GPIO_0[24], PIN_L19
GPIO_0[25], PIN_K17
GPIO_0[26], PIN_K19
GPIO_0[27], PIN_P18
GPIO_0[28], PIN_R15
GPIO_0[29], PIN_R17
GPIO_0[30], PIN_R16
GPIO_0[31], PIN_T20
GPIO_0[32], PIN_T19
GPIO_0[33], PIN_T18
GPIO_0[34], PIN_T17
GPIO_0[35], PIN_T15
GPIO_1[0], PIN_H16
GPIO_1[1], PIN_A12
GPIO_1[2], PIN_H15
GPIO_1[3], PIN_B12
GPIO_1[4], PIN_A13
GPIO_1[5], PIN_B13
GPIO_1[6], PIN_C13
GPIO_1[7], PIN_D13
GPIO_1[8], PIN_G18
GPIO_1[9], PIN_G17
GPIO_1[10], PIN_H18
GPIO_1[11], PIN_J18
GPIO_1[12], PIN_J19
GPIO_1[13], PIN_G11
GPIO_1[14], PIN_H10
GPIO_1[15], PIN_J11
GPIO_1[16], PIN_H14
GPIO_1[17], PIN_A15
GPIO_1[18], PIN_J13
GPIO_1[19], PIN_L8
GPIO_1[20], PIN_A14
GPIO_1[21], PIN_B15
GPIO_1[22], PIN_C15
GPIO_1[23], PIN_E14
GPIO_1[24], PIN_E15
GPIO_1[25], PIN_E16
GPIO_1[26], PIN_F14
GPIO_1[27], PIN_F15
GPIO_1[28], PIN_F13
GPIO_1[29], PIN_F12
GPIO_1[30], PIN_G16
GPIO_1[31], PIN_G15
GPIO_1[32], PIN_G13
GPIO_1[33], PIN_G12
GPIO_1[34], PIN_J17
GPIO_1[35], PIN_K16
HEX0[0], PIN_U21
HEX0[1], PIN_V21
HEX0[2], PIN_W22
HEX0[3], PIN_W21
HEX0[4], PIN_Y22
HEX0[5], PIN_Y21
HEX0[6], PIN_AA22
HEX1[0], PIN_AA20
HEX1[1], PIN_AB20
HEX1[2], PIN_AA19
HEX1[3], PIN_AA18
HEX1[4], PIN_AB18
HEX1[5], PIN_AA17
HEX1[6], PIN_U22
HEX2[0], PIN_Y19
HEX2[1], PIN_AB17
HEX2[2], PIN_AA10
HEX2[3], PIN_Y14
HEX2[4], PIN_V14
HEX2[5], PIN_AB22
HEX2[6], PIN_AB21
HEX3[0], PIN_Y16
HEX3[1], PIN_W16
HEX3[2], PIN_Y17
HEX3[3], PIN_V16
HEX3[4], PIN_U17
HEX3[5], PIN_V18
HEX3[6], PIN_V19
HEX4[0], PIN_U20
HEX4[1], PIN_Y20
HEX4[2], PIN_V20
HEX4[3], PIN_U16
HEX4[4], PIN_U15
HEX4[5], PIN_Y15
HEX4[6], PIN_P9
HEX5[0], PIN_N9
HEX5[1], PIN_M8
HEX5[2], PIN_T14
HEX5[3], PIN_P14
HEX5[4], PIN_C1
HEX5[5], PIN_C2
HEX5[6], PIN_W19
KEY[0], PIN_U7
KEY[1], PIN_W9
KEY[2], PIN_M7
KEY[3], PIN_M6
LEDR[0], PIN_AA2
LEDR[1], PIN_AA1
LEDR[2], PIN_W2
LEDR[3], PIN_Y3
LEDR[4], PIN_N2
LEDR[5], PIN_N1
LEDR[6], PIN_U2
LEDR[7], PIN_U1
LEDR[8], PIN_L2
LEDR[9], PIN_L1
PS2_CLK, PIN_D3
PS2_CLK2, PIN_E2
PS2_DAT, PIN_G2
PS2_DAT2, PIN_G1
RESET_N, PIN_P22
SD_CLK, PIN_H11
SD_CMD, PIN_B11
SD_DATA[0], PIN_K9
SD_DATA[1], PIN_D12
SD_DATA[2], PIN_E12
SD_DATA[3], PIN_C11
SW[0], PIN_U13
SW[1], PIN_V13
SW[2], PIN_T13
SW[3], PIN_T12
SW[4], PIN_AA15
SW[5], PIN_AB15
SW[6], PIN_AA14
SW[7], PIN_AA13
